# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
54.8586319; 89618.3545082; 43148.6533421; 0.7285906; -0.0152508; 10.0000002; 0.0000001
55.8560616; 89617.6976945; 43149.4025727; 0.7097127; -0.0226262; 10.0000002; 0.0000001
56.8534913; 89617.0577172; 43150.1666667; 0.6835501; -0.0298260; 10.0000002; 0.0000001
57.8509209; 89616.4392513; 43150.9513449; 0.6502914; -0.0366613; 10.0000002; -0.0000015
58.8483506; 89615.8534066; 43151.7530192; 0.6108703; -0.0427424; 10.0000001; -0.0000015
59.8457803; 89615.2998037; 43152.5824566; 0.5651960; -0.0488448; 9.9999999; -0.0000015
60.8432099; 89614.7851499; 43153.4415660; 0.5132499; -0.0548479; 9.9999998; -3.1328088
61.8406396; 89614.3227764; 43154.3192589; 0.4552403; -0.0622008; 9.6824833; -3.2667801
62.8380693; 89613.9139269; 43155.2273959; 0.3895875; -0.0695666; 9.3398991; -3.1491138
63.8354989; 89613.5669245; 43156.1676723; 0.3163393; -0.0764327; 8.9973150; -3.9546904
64.8329286; 89613.2918699; 43157.1320963; 0.2397279; -0.0750569; 8.5476679; -3.9727728
65.8303583; 89613.0904619; 43158.1142720; 0.1648079; -0.0749544; 8.0707808; -3.7447655
66.8277880; 89612.9644819; 43159.0999264; 0.0888457; -0.0785585; 7.5938938; -2.1082572
67.8252176; 89612.9164341; 43160.1369646; 0.0008408; -0.0950523; 7.3117403; -1.2447362
68.8226473; 89612.9712108; 43161.1606748; -0.1144262; -0.1344421; 7.1399211; -1.2151382
69.8200770; 89613.1477033; 43162.0893174; -0.2729706; -0.2097551; 6.9681018; -1.2077340
70.8175066; 89613.5238454; 43163.0040440; -0.5140421; -0.2546609; 6.7930246; -1.1830224
71.8149363; 89614.1015906; 43163.7911969; -0.7433762; -0.2013656; 6.6170401; -0.9753584
72.8123660; 89614.8346804; 43164.4628516; -0.9020404; -0.1272939; 6.4683473; -0.7178769
73.8097957; 89615.6634713; 43165.0418647; -1.0159792; -0.1034875; 6.3566858; -0.7053764
74.8072253; 89616.5286591; 43165.5188523; -1.1190078; -0.1104540; 6.2450242; 1.4518763
75.8046550; 89617.4706090; 43165.8965690; -1.2754509; -0.1994163; 6.4727595; 1.5860975
76.8020847; 89618.4286672; 43166.0785073; -1.4975531; -0.2397988; 6.7127235; 2.3919044
77.7995143; 89619.3483174; 43166.0480705; -1.7043183; -0.2035456; 7.0591905; 2.7447830
78.7969440; 89620.3110999; 43165.8265003; -1.8818080; -0.1561297; 7.4369097; 2.7010064
79.7943737; 89621.2956993; 43165.4261395; -2.0244499; -0.1102092; 7.7907480; 2.1763675
80.7918034; 89622.1455772; 43164.9612573; -2.1129834; -0.0773518; 8.0645707; 2.2515397
81.7892330; 89622.9975768; 43164.4046887; -2.1836722; -0.0639527; 8.3383935; 2.3267118
82.7866627; 89623.8148387; 43163.7899514; -2.2475190; -0.0627648; 8.6122163; 2.0357314
83.7840924; 89624.5907041; 43163.1232807; -2.3147022; -0.0681799; 8.8448441; 2.0776916
84.7815220; 89625.2985279; 43162.4254276; -2.3838582; -0.0703231; 9.0761208; 2.1313184
85.7789517; 89625.9466212; 43161.6915870; -2.4521810; -0.0685586; 9.3073976; 2.0188501
86.7763814; 89626.5528246; 43160.9045969; -2.5170881; -0.0616468; 9.5212904; 2.0256380
87.7738111; 89627.1123393; 43160.0777428; -2.5751518; -0.0547911; 9.7311785; 2.0698045
88.7712407; 89627.6250966; 43159.2226412; -2.6267150; -0.0487621; 9.9410665; 0.5891150
89.7686704; 89628.0963032; 43158.3421927; -2.6728442; -0.0437133; 10.0000002; -0.0000000
90.7661001; 89628.5280509; 43157.4434108; -2.7138127; -0.0383782; 10.0000002; -0.0000000
91.7635297; 89628.9246774; 43156.5298557; -2.7492255; -0.0326893; 10.0000002; -0.0000000
92.7609594; 89629.2914552; 43155.6037668; -2.7786865; -0.0262569; 10.0000002; -0.0000000
93.7583891; 89629.6342525; 43154.6673680; -2.8015338; -0.0195849; 10.0000002; -0.0000000
94.7558188; 89629.9590126; 43153.7234887; -2.8177938; -0.0130082; 10.0000002; -0.0000000
95.7532484; 89630.2713721; 43152.7757296; -2.8276623; -0.0069766; 10.0000002; -0.0000000
96.7506781; 89630.5769657; 43151.8262877; -2.8317881; -0.0012955; 10.0000002; -0.0000000
97.7481078; 89630.8813238; 43150.8764784; -2.8302462; 0.0043871; 10.0000002; 0.0000000
98.7455374; 89631.1899652; 43149.9276103; -2.8230406; 0.0100442; 10.0000002; 0.0000001
99.7429671; 89631.5081437; 43148.9817635; -2.8101950; 0.0157085; 10.0000002; 0.0000001
100.7403968; 89631.8408498; 43148.0417474; -2.7916849; 0.0214274; 10.0000002; 0.0000001
101.7378264; 89632.1933759; 43147.1095520; -2.7674421; 0.0272609; 10.0000002; 0.0000001
102.7352561; 89632.5711051; 43146.1872543; -2.7373419; 0.0331185; 10.0000003; 0.0000001
103.7326858; 89632.9793040; 43145.2773849; -2.7014655; 0.0387836; 10.0000003; -0.1078703
104.7301155; 89633.4228133; 43144.3830742; -2.6601168; 0.0438098; 9.9892352; -0.2914709
105.7275451; 89633.9049980; 43143.5090208; -2.6140241; 0.0486369; 9.9600891; -0.2906192
106.7249748; 89634.4288523; 43142.6597859; -2.5628088; 0.0541193; 9.9309431; -1.4078831
107.7224045; 89634.9945116; 43141.8445901; -2.5061775; 0.0598099; 9.7885189; -4.0271694
108.7198341; 89635.6029426; 43141.0694960; -2.4454697; 0.0629199; 9.3691764; -3.8508681
109.7172638; 89636.2657888; 43140.3252871; -2.3824073; 0.0631222; 8.9498338; -3.9264720
110.7146935; 89636.9878962; 43139.6111084; -2.3193142; 0.0614329; 8.5009862; -4.7990850
