# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
275.2905892; 89661.2072099; 43161.2235437; -0.7948929; 0.1942743; 6.7465010; -3.8041257
276.2880189; 89661.8424077; 43161.9683442; -0.6307440; 0.1200786; 6.1584559; 0.6944550
277.2854486; 89662.3987184; 43162.8091962; -0.5477629; 0.0628143; 6.2699218; 3.7712680
278.2828782; 89662.8907030; 43163.6733989; -0.4873471; 0.0622898; 6.8436152; 4.1012403
279.2803079; 89663.3487810; 43164.6166709; -0.4132465; 0.0829744; 7.4173086; -0.4371541
280.2777376; 89663.7380731; 43165.6440522; -0.3129366; 0.0718334; 7.3582882; -5.0870811
281.2751672; 89664.0425266; 43166.6659523; -0.2843119; -0.0327317; 6.6329778; -4.5596502
282.2725969; 89664.3255529; 43167.5016023; -0.4083953; -0.3147171; 5.9076673; -2.0345684
283.2700266; 89664.8419655; 43168.2348800; -0.8424531; -0.4596390; 5.5535444; -1.5437984
284.2674563; 89665.7090982; 43168.8053669; -1.0578633; -0.0273345; 5.2689842; -0.2436376
285.2648859; 89666.5331689; 43169.2584249; -1.0803372; -0.0305112; 5.2226595; -0.1780809
286.2623156; 89667.4556685; 43169.7290334; -1.1211883; -0.0504822; 5.1885379; -0.0619882
287.2597453; 89668.4030352; 43170.1489182; -1.1941536; -0.0979053; 5.1766078; 1.9023014
288.2571749; 89669.4076318; 43170.4738151; -1.3351008; -0.1726602; 5.5310118; 2.0282273
289.2546046; 89670.3569027; 43170.6087506; -1.5345526; -0.2366197; 5.8854159; 2.6645858
290.2520343; 89671.2762289; 43170.5389208; -1.7583523; -0.2356916; 6.3208855; 3.3516364
291.2494639; 89672.1934761; 43170.2610027; -1.9641101; -0.1893763; 6.8293218; 3.6108100
292.2468936; 89673.1357256; 43169.7658644; -2.1351246; -0.1333428; 7.3377582; 2.7858814
293.2443233; 89673.9307351; 43169.1986387; -2.2367993; -0.0794691; 7.7071484; 2.8115634
294.2417530; 89674.7054291; 43168.5449883; -2.3019489; -0.0522039; 8.0628041; 2.9383803
295.2391826; 89675.4462866; 43167.8480376; -2.3469119; -0.0375117; 8.4184598; 2.8978270
296.2366123; 89676.1681409; 43167.1121292; -2.3865808; -0.0460791; 8.7550684; 2.9171975
297.2340420; 89676.8344341; 43166.3659507; -2.4417819; -0.0638207; 9.0813337; 3.0239209
298.2314716; 89677.4329277; 43165.6055019; -2.5096239; -0.0747655; 9.4075990; 2.0394643
299.2289013; 89677.9723932; 43164.8097541; -2.5816917; -0.0732168; 9.6214013; 1.6017859
300.2263310; 89678.4647599; 43163.9594978; -2.6506271; -0.0666754; 9.7860462; 1.6289637
301.2237607; 89678.9166525; 43163.0435462; -2.7144589; -0.0581334; 9.9506911; 0.4931442
302.2211903; 89679.3086170; 43162.1131602; -2.7711735; -0.0569921; 10.0000003; -0.0000004
303.2186200; 89679.6455882; 43161.1622963; -2.8322576; -0.0653251; 10.0000003; -0.0000004
304.2160497; 89679.9167777; 43160.1981701; -2.9053954; -0.0825470; 10.0000003; -0.5911527
305.2134793; 89680.1091232; 43159.1968344; -3.0017006; -0.1020850; 9.9408621; -1.3073753
306.2109090; 89680.1968841; 43158.1736181; -3.1123950; -0.1139702; 9.8088077; -1.2898920
307.2083387; 89680.1697591; 43157.2087178; 3.0537295; -0.1292675; 9.6767534; -2.1069495
308.2057684; 89680.0209127; 43156.2474498; 2.9201496; -0.1411988; 9.4570867; -2.6793768
309.2031980; 89679.7394611; 43155.3026064; 2.7868412; -0.1241626; 9.1701422; -2.5768532
310.2006277; 89679.3407625; 43154.3874911; 2.6809555; -0.0870838; 8.8854403; -1.5649455
311.1980574; 89678.8761046; 43153.5438920; 2.5943447; -0.0930687; 8.7079965; -1.5333780
312.1954870; 89678.3131774; 43152.7126280; 2.4970074; -0.1009457; 8.5305527; -1.3182357
313.1929167; 89677.6583369; 43151.9311418; 2.3904746; -0.1032063; 8.3750005; -0.7483223
314.1903464; 89676.9491046; 43151.2420607; 2.2951683; -0.0905962; 8.2853990; -0.7402732
315.1877761; 89676.1686371; 43150.6106187; 2.2080247; -0.0838713; 8.1957974; 0.0456326
316.1852057; 89675.3293851; 43150.0423139; 2.1247220; -0.0783511; 8.2013491; 2.3247315
317.1826354; 89674.4400990; 43149.5376788; 2.0512979; -0.0658591; 8.4793655; 2.4022238
318.1800651; 89673.5465723; 43149.1066975; 1.9905985; -0.0569747; 8.7573819; 2.1905496
319.1774947; 89672.6322641; 43148.7280964; 1.9363466; -0.0567532; 9.0034202; 1.7088112
320.1749244; 89671.6767009; 43148.3951576; 1.8744200; -0.0647440; 9.1907787; 1.7440049
321.1723541; 89670.7440873; 43148.1352187; 1.8106926; -0.0654844; 9.3781372; 1.4340217
322.1697838; 89669.8109491; 43147.9380054; 1.7467475; -0.0684368; 9.5294349; 1.3841620
323.1672134; 89668.8320155; 43147.7971121; 1.6820714; -0.0604737; 9.6732279; -0.6585486
324.1646431; 89667.8174612; 43147.7126867; 1.6292669; -0.0353122; 9.6050834; -5.5072878
325.1620728; 89666.8571592; 43147.6662869; 1.6149196; 0.0026320; 9.0150631; -5.1582667
326.1595024; 89665.8417306; 43147.6148558; 1.6327413; 0.0314218; 8.4250427; -4.3727027
327.1569321; 89664.8034878; 43147.5285653; 1.6789383; 0.0538412; 7.8904004; -2.3693782
328.1543618; 89663.7936493; 43147.3896626; 1.7373935; 0.0618509; 7.5849748; -2.2758530
329.1517914; 89662.8093450; 43147.1902951; 1.8064308; 0.0771393; 7.2795491; -2.1823278
330.1492211; 89661.8804955; 43146.9266634; 1.8925274; 0.1037745; 6.9741235; -1.2092276
331.1466508; 89660.8930577; 43146.5317345; 2.0136163; 0.1246769; 6.7989823; -1.1577107
332.1440805; 89660.0313492; 43146.0513822; 2.1496566; 0.1527188; 6.6269669; -0.7061935
333.1415101; 89659.2857118; 43145.4770020; 2.3106070; 0.1890108; 6.5198108; 0.5660629
334.1389398; 89658.6285978; 43144.7518721; 2.4995085; 0.1852463; 6.6058420; 0.5734833
335.1363695; 89658.0978310; 43143.9001740; 2.6594297; 0.1287042; 6.6918732; 2.0961473
336.1337991; 89657.7013865; 43143.0316456; 2.7616328; 0.0913678; 6.9973342; 2.4443620
337.1312288; 89657.3695389; 43142.0865923; 2.8432546; 0.0737622; 7.3374958; 2.5610622
338.1286585; 89657.1002013; 43141.0807722; 2.9152822; 0.0654113; 7.6777473; 2.6874836
339.1260882; 89656.9083643; 43140.1141298; 2.9743414; 0.0548197; 8.0192865; 2.8044332
340.1235178; 89656.7674999; 43139.1242671; 3.0246939; 0.0462054; 8.3608256; 2.9089860
341.1209475; 89656.6720347; 43138.1207980; 3.0676132; 0.0390948; 8.7009438; 2.5143786
342.1183772; 89656.6160754; 43137.1254589; 3.1015867; 0.0290991; 8.9845565; 2.5950220
343.1158068; 89656.5890129; 43136.1278591; 3.1257298; 0.0193161; 9.2681691; 2.6756654
344.1132365; 89656.5811964; 43135.1304605; 3.1401771; 0.0096591; 9.5517818; -1.4937107
345.1106662; 89656.5827607; 43134.1245657; -3.1390105; -0.0018549; 9.3945086; -1.7293819
346.1080959; 89656.5824367; 43133.1249063; 3.1363523; -0.0139278; 9.2090672; -1.6949047
347.1055255; 89656.5683901; 43132.1365616; 3.1162699; -0.0269307; 9.0236258; -0.1799409
348.1029552; 89656.5263924; 43131.1184373; 3.0822860; -0.0399508; 9.0037140; 0.0000000
349.1003849; 89656.4446764; 43130.1210733; 3.0347985; -0.0555748; 9.0037140; -10.8510094
350.0978145; 89656.3124028; 43129.1596191; 2.9718003; -0.0750702; 7.7084776; -1.2089866
